Gene,GeneName,Type,miRNA,Phenotypes
Chsy3,Chondroitin sulfate synthase 3,Enzyme,miR-25-3p; miR-92b-3p; miR-23b-3p; miR-23a-3p; miR-669e-3p,increased lean body mass
Cidec,Lipid transferase CIDEC,,miR-486a-3p; miR-486b-3p,increased lean body mass; increased fasting circulating glucose level
Cinp,Cyclin-dependent kinase 2-interacting protein,,let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-330-3p,increased fasting circulating glucose level
Cisd2,CDGSH iron-sulfur domain-containing protein 2,,miR-672-3p; miR-30d-3p; miR-205-3p; miR-96-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Ckb,Creatine kinase B-type,Kinase,miR-21b,increased lean body mass
Clec3a,C-type lectin domain family 3 member A,,miR-125a-3p; miR-677-3p,increased lean body mass
Cmpk2,"UMP-CMP kinase 2, mitochondrial",Kinase,miR-672-3p; miR-206-3p; miR-22-3p,increased total body fat amount
Cmtr2,Cap-specific mRNA,Enzyme,miR-3473f; miR-1198-3p,increased lean body mass
Cnep1r1,Nuclear envelope phosphatase-regulatory subunit 1,,miR-25-3p; miR-92b-3p; miR-200b-3p; let-7b-3p; miR-200c-3p; miR-143-3p; miR-429-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,decreased lean body mass
Cnksr2,Connector enhancer of kinase suppressor of ras 2,,miR-3473d; miR-743b-3p; miR-21a-3p; let-7g-3p; miR-470-3p,impaired glucose tolerance
Cnot4,CCR4-NOT transcription complex subunit 4,Enzyme,miR-1291; miR-93-3p; let-7g-3p; let-7f-2-3p,increased total body fat amount
Cnot7,CCR4-NOT transcription complex subunit 7,Transcription regulator,miR-301a-3p; miR-672-3p; miR-200b-3p; miR-200c-3p; miR-429-3p; miR-130b-3p; miR-27a-3p; miR-449a-3p; miR-27b-3p,increased lean body mass
Cobll1,Cordon-bleu protein-like 1,,miR-669e-3p,increased lean body mass
Cog3,Conserved oligomeric Golgi complex subunit 3,,miR-3470b; miR-25-3p; miR-92b-3p; miR-330-3p,increased circulating insulin level
Col14a1,Collagen alpha-1(XIV) chain,,miR-203-3p,impaired glucose tolerance
Col18a1,Collagen alpha-1(XVIII) chain [Cleaved into: Endostatin; Non-collagenous domain 1,,miR-486a-3p; miR-486b-3p,increased fasting circulating glucose level
Col4a5,"Collagen, type IV, alpha 5",,miR-3535; miR-29a-3p; miR-30d-3p; miR-23b-3p; miR-23a-3p; miR-21b; miR-29c-3p; miR-30a-3p; miR-30e-3p; miR-330-3p,impaired glucose tolerance
Col6a3,"Collagen, type VI, alpha 3",,miR-29a-3p; miR-183-3p; miR-29c-3p; miR-139-3p; miR-330-3p,decreased lean body mass
Cops7a,COP9 signalosome complex subunit 7a,,miR-142a-3p; miR-143-3p,improved glucose tolerance
Cox7c,"Cytochrome c oxidase subunit 7C, mitochondrial",Enzyme,miR-21b,increased fasting circulating glucose level
Cpd,Carboxypeptidase D,Peptidase,miR-7241-3p; miR-871-3p; miR-7222-3p; miR-93-3p; miR-143-3p; let-7f-2-3p,impaired glucose tolerance
Crx,Cone-rod homeobox protein,Transcription regulator,miR-483-3p; miR-100-3p; miR-449a-3p,increased fasting circulating glucose level
Cs,"Citrate synthase, mitochondrial",Enzyme,miR-152-3p; miR-148a-3p; miR-23b-3p; miR-23a-3p; let-7f-2-3p; miR-148b-3p,impaired glucose tolerance
