Gene,GeneName,Type,miRNA,Phenotypes
Shld1,Shieldin complex subunit 1,,miR-21b,impaired glucose tolerance
Sik1,Serine/threonine-protein kinase SIK1,Kinase,miR-25-3p; miR-1931; miR-92b-3p; miR-152-3p; miR-200b-3p; miR-142a-3p; miR-148a-3p; miR-200c-3p; miR-429-3p; miR-27a-3p; miR-148b-3p; miR-27b-3p,increased lean body mass
Sik3,Serine/threonine-protein kinase SIK3,Kinase,miR-100-3p,increased lean body mass; improved glucose tolerance
Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,Phosphatase,miR-7222-3p; miR-935; miR-21a-3p; miR-23b-3p; miR-204-3p; miR-23a-3p,impaired glucose tolerance
Skor1,SKI family transcriptional corepressor 1,Transcription regulator,miR-23b-3p; miR-23a-3p; miR-1249-3p,increased circulating glucose level
Slc12a5,Solute carrier family 12 member 5,Transporter,miR-25-3p; miR-92b-3p; miR-1981-3p,impaired glucose tolerance
Slc1a4,Neutral amino acid transporter A,Transporter,miR-672-3p; miR-143-3p; miR-205-3p,improved glucose tolerance
Slc20a2,Sodium-dependent phosphate transporter 2,Transporter,miR-547-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; let-7a-2-3p,increased total body fat amount; impaired glucose tolerance
Slc24a3,Sodium/potassium/calcium exchanger 3,Transporter,miR-25-3p; miR-92b-3p; miR-152-3p; miR-148a-3p; miR-148b-3p,increased lean body mass
Slc25a15,Mitochondrial ornithine transporter 1,Transporter,miR-1291; miR-881-3p,increased total body fat amount
Slc25a21,Mitochondrial 2-oxodicarboxylate carrier,Transporter,miR-23b-3p; miR-23a-3p,increased total body fat amount
Slc25a46,Mitochondrial outer membrane protein SLC25A46,,miR-203-3p,increased circulating glucose level
Slc26a2,Sulfate transporter,Transporter,miR-3969; miR-27a-3p; miR-27b-3p,impaired glucose tolerance
Slc29a3,Equilibrative nucleoside transporter 3,Transporter,miR-206-3p; miR-677-3p; miR-468-3p,increased lean body mass
Slc2a13,Proton myo-inositol cotransporter,Transporter,miR-34b-3p; miR-34c-3p; miR-532-3p; miR-741-3p,impaired glucose tolerance
Slc2a2,"Solute carrier family 2, facilitated glucose transporter member 2",Transporter,miR-547-3p,increased fasting circulating glucose level
Slc30a2,Proton-coupled zinc antiporter SLC30A2,Transporter,miR-7222-3p; miR-145a-3p,increased fasting circulating glucose level
Slc30a7,Zinc transporter 7,Transporter,miR-1931; miR-743b-3p; miR-150-3p; miR-23b-3p; miR-204-3p; miR-145a-3p; miR-23a-3p; miR-200a-3p; miR-141-3p; let-7a-2-3p; miR-211-3p,increased total body fat amount; impaired glucose tolerance
Slc37a1,Glucose-6-phosphate exchanger SLC37A1,Transporter,miR-3473e; miR-3473b; miR-205-3p,increased total body fat amount
Slc3a1,Amino acid transporter heavy chain SLC3A1,Transporter,miR-152-3p; miR-148a-3p; miR-148b-3p,increased lean body mass
Slc40a1,Ferroportin,Transporter,miR-7241-3p; miR-1981-3p,increased total body fat amount
Slc44a4,Choline transporter-like protein 4,Transporter,miR-669e-3p,increased fasting circulating glucose level
Slc6a2,Sodium-dependent noradrenaline transporter,Transporter,miR-29a-3p; miR-152-3p; miR-148a-3p; miR-143-3p; miR-29c-3p; miR-148b-3p,impaired glucose tolerance
Slc7a11,Cystine/glutamate transporter,Transporter,miR-3535; miR-1931; miR-935; miR-200b-3p; miR-203-3p; miR-143-3p; miR-200a-3p; miR-200c-3p; miR-429-3p; miR-532-3p; miR-27a-3p; miR-22-3p; miR-468-3p; miR-27b-3p; miR-141-3p; miR-669e-3p,increased circulating glucose level
Slc7a7,Y+L amino acid transporter 1,Transporter,miR-22-3p; miR-328-3p,increased lean body mass
Slco6c1,Solute carrier organic anion transporter family member 6C1,,miR-25-3p; miR-92b-3p,increased fasting circulating glucose level
Slitrk1,SLIT and NTRK-like protein 1,,miR-3535; miR-3470a; miR-200b-3p; miR-200c-3p; miR-429-3p; miR-27a-3p; miR-27b-3p,improved glucose tolerance
Snap29,Synaptosomal-associated protein 29,,miR-25-3p; miR-92b-3p; miR-222-3p; miR-221-3p; miR-27a-3p; miR-449a-3p; miR-27b-3p,increased lean body mass
Snap47,Synaptosomal-associated protein 47,,miR-27a-3p; miR-27b-3p,decreased lean body mass
Snca,Alpha-synuclein,Enzyme,miR-21a-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p,increased fasting circulating glucose level
Sncb,Beta-synuclein,,miR-222-3p; miR-221-3p,impaired glucose tolerance
Sox21,Transcription factor SOX-10,Transcription regulator,miR-382-3p; miR-30b-3p; miR-205-3p,increased lean body mass
Sox30,Transcription factor SOX-30,Transcription regulator,miR-669e-3p,increased fasting circulating glucose level
Spg11,Spatacsin,,miR-881-3p,increased total body fat amount
Spice1,Spindle and centriole-associated protein 1,,miR-34c-3p; miR-34b-3p; miR-3473d; miR-203-3p,improved glucose tolerance
Spidr,DNA repair-scaffolding protein,,miR-22-3p,increased total body fat amount
Spn,Leukosialin,Transmembrane receptor,miR-204-3p; miR-184-3p,increased total body fat amount
Spns1,Protein spinster homolog 1,Transporter,miR-142a-3p; miR-29a-3p; miR-29c-3p,increased total body fat amount
Spryd3,SPRY domain containing 3,,miR-672-3p; let-7g-3p,increased circulating insulin level
Spryd4,SPRY domain-containing protein 4,,miR-25-3p; miR-92b-3p,increased fasting circulating glucose level
Sptssb,Serine palmitoyltransferase small subunit B,Enzyme,miR-34c-3p; miR-34b-3p; miR-142a-3p; miR-330-3p,increased fasting circulating glucose level
Ss18,Protein SSXT,Transcription regulator,miR-3473f; miR-744-3p; miR-30d-3p; miR-206-3p; miR-30a-3p; miR-30e-3p,increased circulating glucose level
Ssbp2,Single-stranded DNA-binding protein 2,Transcription regulator,miR-3470a; miR-25-3p; miR-672-3p; miR-92b-3p; miR-30d-3p; miR-150-3p; miR-23b-3p; miR-204-3p; let-7b-3p; miR-23a-3p; let-7g-3p; miR-96-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-21b; miR-30a-3p; miR-30e-3p; miR-449a-3p; miR-1198-3p,increased lean body mass
Ssh2,Protein phosphatase Slingshot homolog 2,Phosphatase,miR-881-3p; miR-3473d; miR-935; miR-200b-3p; miR-21a-3p; miR-23b-3p; miR-23a-3p; miR-200c-3p; miR-429-3p; miR-330-3p,increased lean body mass
Stag3,Cohesin subunit SA-3,,miR-652-3p; miR-211-3p,increased total body fat amount
Stard3nl,STARD3 N-terminal-like protein,,miR-23b-3p; miR-23a-3p,increased total body fat amount
Stau2,Double-stranded RNA-binding protein Staufen homolog 2,,miR-1931; miR-423-3p,increased total body fat amount
Steap3,Metalloreductase STEAP3,Transporter,miR-449a-3p,impaired glucose tolerance
Stim2,Stromal interaction molecule 2,Transporter,miR-3473f; miR-3969; miR-301a-3p; miR-30d-3p; miR-130b-3p; miR-30a-3p; miR-30e-3p; miR-125b-2-3p,increased lean body mass
Stk38,Serine/threonine-protein kinase 38,Kinase,miR-1306-3p; miR-672-3p; miR-374b-3p; miR-96-3p; miR-21b; miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Stoml2,"Stomatin-like protein 2, mitochondrial",,miR-21b,increased circulating insulin level
Strn3,Striatin-3,Transcription regulator,miR-25-3p; miR-34c-3p; miR-34b-3p; miR-92b-3p; miR-142a-3p; miR-29a-3p; miR-143-3p; miR-374b-3p; miR-96-3p; miR-29c-3p; miR-708-3p,increased fasting circulating glucose level
Stx16,Syntaxin-16,Transporter,miR-547-3p; miR-29a-3p; miR-203-3p; miR-27a-3p; miR-29c-3p; miR-100-3p; miR-27b-3p,increased lean body mass; improved glucose tolerance
Stxbp1,Syntaxin-binding protein 1,Transporter,miR-3473d; miR-200a-3p; let-7f-2-3p; miR-141-3p; miR-211-3p,impaired glucose tolerance
Sun1,SUN domain-containing protein 1,,miR-743b-3p; miR-29a-3p; let-7f-2-3p; miR-29c-3p,increased total body fat amount
Sun2,SUN domain-containing protein 2,,miR-30d-3p; miR-222-3p; miR-221-3p; miR-30a-3p; miR-30e-3p,decreased lean body mass
Suv39h2,Histone-lysine N-methyltransferase SUV39H2,Transcription regulator,miR-449a-3p,increased fasting circulating glucose level
Swt1,Transcriptional protein SWT1,,miR-881-3p; miR-23b-3p; miR-23a-3p,increased total body fat amount; impaired glucose tolerance
Syk,Tyrosine-protein kinase SYK,Kinase,miR-7241-3p; miR-672-3p; miR-143-3p,increased total body fat amount
Syncrip,Heterogeneous nuclear ribonucleoprotein Q,,miR-3473d; miR-200b-3p; miR-200c-3p; miR-203-3p; miR-429-3p,impaired glucose tolerance
Syt1,Synaptotagmin-1,Transporter,miR-7241-3p; miR-3473e; miR-3473b; miR-200b-3p; miR-200c-3p; miR-206-3p; miR-429-3p; miR-205-3p; miR-708-3p,decreased lean body mass
Sytl4,Synaptotagmin-like protein 4,Transporter,miR-743b-3p,improved glucose tolerance
Tacr3,Neuromedin-K receptor,G-protein coupled receptor,miR-547-3p,increased total body fat amount
Taf5,Transcription initiation factor TFIID subunit 5,Transcription regulator,miR-3473d; miR-29a-3p; let-7g-3p; miR-29c-3p,increased total body fat amount
Tanc2,Protein TANC2,Transcription regulator,miR-3470b; miR-3473d; miR-672-3p; miR-547-3p; miR-743b-3p; let-7g-3p; miR-143-3p; miR-200a-3p; miR-486a-3p; miR-677-3p; miR-483-3p; miR-486b-3p; let-7a-2-3p; miR-330-3p; miR-141-3p,impaired glucose tolerance
Tbc1d2b,TBC1 domain family member 2B,,miR-881-3p; miR-743b-3p; miR-142a-3p; miR-200b-3p; miR-200c-3p; miR-429-3p; miR-21b,increased lean body mass
Tbccd1,TBCC domain-containing protein 1,,let-7b-3p; let-7c-2-3p; let-7a-1-3p,impaired glucose tolerance
Tceal1,Transcription elongation factor A protein-like 1,Transcription regulator,miR-935; miR-23b-3p; miR-23a-3p,increased total body fat amount
Tcf20,Transcription factor 20,Transcription regulator,let-7b-3p; miR-183-3p; miR-23b-3p; miR-143-3p; miR-23a-3p; let-7c-2-3p; let-7a-1-3p; miR-708-3p,increased total body fat amount; increased circulating insulin level
Tcf7l2,Transcription factor 7-like 2,Transcription regulator,miR-3473d; let-7b-3p; let-7g-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-328-3p; let-7a-2-3p,increased lean body mass
Tead1,Transcriptional enhancer factor TEF-1,Transcription regulator,miR-3470a; miR-25-3p; miR-92b-3p; miR-672-3p; miR-30d-3p; miR-142a-3p; miR-29a-3p; let-7b-3p; miR-183-3p; miR-30b-3p; let-7c-2-3p; let-7a-1-3p; miR-205-3p; let-7f-2-3p; miR-27a-3p; miR-470-3p; miR-30a-3p; miR-30e-3p; miR-29c-3p; miR-27b-3p; miR-330-3p,increased total body fat amount; impaired glucose tolerance
Tenm4,Teneurin-4,,miR-743b-3p; miR-191-3p,decreased lean body mass
Tex261,Protein TEX261,,miR-3473f,increased lean body mass
Tfeb,Transcription factor EB,Transcription regulator,miR-29a-3p; miR-29c-3p; miR-330-3p,increased total body fat amount
Tg,Thyroglobulin,,miR-374b-3p,improved glucose tolerance
Tgfb1i1,Transforming growth factor beta-1-induced transcript 1 protein,Transcription regulator,let-7a-2-3p,improved glucose tolerance
Thap12,52 kDa repressor of the inhibitor of the protein kinase,,miR-21a-3p; miR-23b-3p; let-7b-3p; miR-23a-3p; miR-203-3p; let-7c-2-3p; let-7a-1-3p; miR-483-3p,increased circulating glucose level
Thoc1,THO complex subunit 1,Transcription regulator,let-7b-3p; miR-222-3p; miR-221-3p; let-7c-2-3p; let-7a-1-3p,increased total body fat amount
Thsd7a,"Thrombospondin type-1 domain-containing protein 7A [Cleaved into: Thrombospondin type-1 domain-containing protein 7A, soluble form]",,miR-7222-3p; miR-1306-3p; miR-7241-3p; miR-672-3p; miR-301a-3p; miR-30d-3p; miR-183-3p; miR-203-3p; miR-205-3p; miR-130b-3p; miR-30a-3p; miR-30e-3p; miR-669e-3p,decreased lean body mass
Tial1,Nucleolysin TIAR,Transcription regulator,miR-3969; miR-21a-3p; let-7a-2-3p; miR-708-3p,increased lean body mass
Tifab,TRAF-interacting protein with FHA domain-containing protein B,,miR-21b,increased lean body mass
Tle4,Transducin-like enhancer protein 4,Transcription regulator,let-7b-3p; miR-21a-3p; let-7c-2-3p; let-7a-1-3p; let-7f-2-3p; miR-330-3p,increased total body fat amount; impaired glucose tolerance
Tlk1,Serine/threonine-protein kinase tousled-like 1,Kinase,miR-192-3p; miR-23b-3p; let-7g-3p; miR-23a-3p; miR-21b; let-7a-2-3p,impaired glucose tolerance
Tmem108,Transmembrane protein 108,,miR-672-3p; miR-21b; miR-741-3p; miR-449a-3p,increased total body fat amount
Tmem129,E3 ubiquitin-protein ligase TM129,Enzyme,miR-3473e; miR-3473b,increased total body fat amount
Tmem132a,Transmembrane protein 132A,,miR-29a-3p; miR-29c-3p,increased total body fat amount
Tmem132b,Transmembrane protein 132B,,miR-3470a; miR-93-3p; let-7b-3p; miR-183-3p; let-7g-3p; let-7c-2-3p; let-7a-1-3p,increased body weight
Tmem161b,Transmembrane protein 161B,,miR-382-3p; let-7f-2-3p,increased total body fat amount
Tmem240,Transmembrane protein 240,,miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Tmem248,Transmembrane protein 248,,miR-1931; miR-3473e; miR-3473d; miR-3473b; miR-27a-3p; miR-125b-2-3p; miR-27b-3p,increased lean body mass
Tmem260,Protein O-mannosyl-transferase TMEM260,Enzyme,miR-871-3p; miR-3968; miR-192-3p; miR-100-3p; miR-125b-2-3p,increased lean body mass
Tmem72,Transmembrane protein 72,,miR-1981-3p; miR-139-3p; miR-191-3p; miR-330-3p,increased lean body mass
Tmem9b,Transmembrane protein 9B,,miR-881-3p; miR-301a-3p; miR-743b-3p; miR-152-3p; miR-148a-3p; miR-130b-3p; miR-148b-3p,increased total body fat amount
Tmprss2,Transmembrane protease serine 2,Peptidase,miR-328-3p,improved glucose tolerance
Tnfaip1,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2,Ion channel,miR-30d-3p; miR-30a-3p; miR-30e-3p,increased total body fat amount; increased circulating glucose level
Tnfsf18,Tumor necrosis factor ligand superfamily member 18,Cytokine,miR-34c-3p; miR-34b-3p; miR-145a-3p,decreased lean body mass
Tnks,Poly [ADP-ribose] polymerase tankyrase-1,Enzyme,miR-3470b; miR-7222-3p; miR-142a-3p; miR-203-3p,increased lean body mass; increased fasting circulating glucose level
Tns3,Tensin-3,Phosphatase,miR-672-3p; miR-93-3p; let-7b-3p; let-7c-2-3p; let-7a-1-3p; miR-206-3p,increased fasting circulating glucose level
Topors,E3 ubiquitin-protein ligase Topors,Enzyme,miR-672-3p,increased total body fat amount; increased circulating glucose level
Tram1,Nuclear receptor coactivator 3,,miR-182-3p; let-7f-2-3p,increased total body fat amount
Trappc10,Trafficking protein particle complex subunit 10,,miR-93-3p; let-7b-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p,increased total body fat amount; increased circulating insulin level
Trappc9,Trafficking protein particle complex subunit 9,,miR-182-3p,increased total body fat amount; impaired glucose tolerance; increased circulating insulin level
Trim10,Tripartite motif-containing protein 10,,miR-672-3p,increased total body fat amount
Trim37,E3 ubiquitin-protein ligase TRIM37,Enzyme,miR-29a-3p; miR-203-3p; miR-205-3p; miR-29c-3p; miR-22-3p,increased total body fat amount; improved glucose tolerance
Trim39,E3 ubiquitin-protein ligase TRIM39,,miR-3470a; miR-532-3p,increased fasting circulating glucose level
Trio,Triple functional domain protein,Kinase,miR-881-3p; miR-25-3p; miR-92b-3p; miR-672-3p; miR-125a-3p; miR-935; miR-204-3p; let-7g-3p; let-7f-2-3p; miR-205-3p,impaired glucose tolerance
Triobp,TRIO and F-actin-binding protein,,miR-23b-3p; miR-23a-3p,increased circulating glucose level
Trpa1,Transient receptor potential cation channel subfamily A member 1,Transporter,miR-547-3p; miR-150-3p,increased total body fat amount
Trpc3,Short transient receptor potential channel 3,Ion channel,miR-743b-3p; miR-142a-3p; miR-23b-3p; miR-23a-3p; miR-205-3p,increased lean body mass
Trpm1,Transient receptor potential cation channel subfamily M member 1,Ion channel,miR-34c-3p; miR-34b-3p; miR-374b-3p,impaired glucose tolerance
Tspan13,Tetraspanin-13,,miR-143-3p; let-7f-2-3p; miR-21b,increased total body fat amount
Tspan18,Tetraspanin-18,,miR-184-3p; miR-669e-3p,increased fasting circulating glucose level
Tspan9,Tetraspanin-9,,miR-206-3p; miR-486a-3p; miR-741-3p; miR-486b-3p,increased total body fat amount
Ttc38,Tetratricopeptide repeat protein 38,,miR-328-3p,impaired glucose tolerance
Tulp3,Tubby-related protein 3,,miR-672-3p; miR-152-3p; miR-148a-3p; miR-486a-3p; miR-148b-3p; miR-486b-3p,increased total body fat amount; impaired glucose tolerance
Tusc1,Tumor suppressor candidate gene 1 protein homolog,,miR-330-3p,increased total body fat amount
Twf1,Twinfilin-1,Kinase,miR-3470a; miR-1291; miR-7222-3p; miR-92b-3p; miR-142a-3p; miR-203-3p; miR-206-3p; miR-205-3p,increased lean body mass
Txndc5,Thioredoxin domain-containing protein 5,Enzyme,miR-21b,increased circulating insulin level
Txnip,Thioredoxin-interacting protein,,miR-152-3p; miR-148a-3p; miR-200a-3p; miR-148b-3p; miR-141-3p,increased total body fat amount
Ube2d3,Ubiquitin-conjugating enzyme E2 D3,Enzyme,miR-301a-3p; miR-152-3p; miR-93-3p; miR-148a-3p; miR-532-3p; miR-21b; miR-130b-3p; miR-148b-3p,decreased lean body mass
Ube2j1,Ubiquitin-conjugating enzyme E2 J1,Enzyme,miR-30d-3p; miR-222-3p; miR-205-3p; miR-221-3p; miR-30a-3p; miR-30e-3p; miR-330-3p,increased total body fat amount
Ube2j2,Ubiquitin-conjugating enzyme E2 J2,Enzyme,miR-743b-3p; miR-10a-3p; miR-203-3p,increased total body fat amount
Ube2w,Ubiquitin-conjugating enzyme E2 W,Enzyme,miR-25-3p; miR-7222-3p; miR-92b-3p; miR-200b-3p; miR-152-3p; miR-10a-3p; miR-148a-3p; miR-200c-3p; miR-429-3p; miR-27a-3p; miR-148b-3p; miR-468-3p; miR-211-3p; miR-27b-3p,increased fasting circulating glucose level
Ube3a,Ubiquitin-protein ligase E3A,Enzyme,miR-881-3p; miR-192-3p; miR-200b-3p; miR-182-3p; miR-200a-3p; miR-200c-3p; let-7g-3p; miR-429-3p; miR-375-3p; miR-141-3p,increased total body fat amount
Ube3c,Ubiquitin-protein ligase E3C,Enzyme,miR-3473d; miR-182-3p; let-7b-3p; let-7c-2-3p; let-7f-2-3p; let-7a-1-3p,increased total body fat amount
Ube4a,Ubiquitin conjugation factor E4 A,Enzyme,miR-145a-3p; miR-206-3p; miR-205-3p; miR-27a-3p; miR-677-3p; miR-27b-3p,increased total body fat amount; impaired glucose tolerance
Ubr7,Putative E3 ubiquitin-protein ligase UBR7,Enzyme,miR-486a-3p; miR-486b-3p,improved glucose tolerance
Ufm1,Ubiquitin-fold modifier 1,,miR-222-3p; miR-221-3p; miR-470-3p,increased total body fat amount
Uggt2,UDP-glucose glycoprotein glucosyltransferase 2,Enzyme,miR-211-3p,abnormal lean body mass
Uhrf2,E3 ubiquitin-protein ligase UHRF2,Enzyme,miR-743b-3p; miR-672-3p; miR-669e-3p,increased total body fat amount
Upf3b,UPF3 regulator of nonsense transcripts homolog B,Transporter,miR-222-3p; miR-221-3p; miR-22-3p,increased fasting circulating glucose level
Uri1,Unconventional prefoldin RPB5 interactor,Transcription regulator,miR-3470a; miR-203-3p; miR-222-3p; miR-221-3p; let-7a-2-3p,increased fasting circulating glucose level
Usp1,Ubiquitin carboxyl-terminal hydrolase 1,Peptidase,miR-30d-3p; miR-30a-3p; miR-30e-3p; let-7a-2-3p,increased circulating insulin level
Usp12,Ubiquitin carboxyl-terminal hydrolase 12,Peptidase,miR-672-3p; let-7b-3p; miR-145a-3p; let-7c-2-3p; let-7a-1-3p; miR-677-3p; miR-191-3p,increased total body fat amount; impaired glucose tolerance
Usp13,Ubiquitin carboxyl-terminal hydrolase 13,Peptidase,miR-672-3p; miR-200a-3p; miR-375-3p; miR-141-3p,increased total body fat amount
Usp15,Ubiquitin carboxyl-terminal hydrolase 15,Peptidase,miR-672-3p,increased lean body mass; improved glucose tolerance
Usp22,Ubiquitin carboxyl-terminal hydrolase 22,Peptidase,miR-382-3p,increased lean body mass
Usp30,Ubiquitin carboxyl-terminal hydrolase 30,Peptidase,miR-744-3p; miR-449a-3p,impaired glucose tolerance
Usp31,ubiquitinyl hydrolase 1 (EC 3.4.19.12),Peptidase,miR-871-3p; miR-7222-3p; miR-672-3p; miR-935; let-7b-3p; miR-204-3p; let-7g-3p; let-7c-2-3p; let-7a-1-3p; miR-148b-3p; let-7a-2-3p,increased lean body mass; increased circulating glucose level
Usp36,Ubiquitin carboxyl-terminal hydrolase 36,Peptidase,miR-25-3p; miR-92b-3p,increased circulating glucose level
Usp38,Ubiquitin carboxyl-terminal hydrolase 38,Peptidase,miR-1931; miR-30d-3p; miR-183-3p; miR-30a-3p; miR-30e-3p,increased total body fat amount
Usp42,Ubiquitin carboxyl-terminal hydrolase 42,Peptidase,let-7b-3p; miR-183-3p; let-7g-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-27a-3p; miR-27b-3p; miR-708-3p,increased total body fat amount
Usp47,Ubiquitin carboxyl-terminal hydrolase 47,Peptidase,miR-1291; miR-301a-3p; miR-152-3p; miR-148a-3p; miR-130b-3p; miR-148b-3p; let-7a-2-3p,increased circulating glucose level
Vangl2,Vang-like protein 2,,miR-743b-3p; miR-200a-3p; let-7a-2-3p; miR-141-3p,increased circulating glucose level
Vapb,Vesicle-associated membrane protein-associated protein B,,miR-1291; miR-3968; miR-672-3p; miR-21a-3p; miR-382-3p; miR-23b-3p; miR-222-3p; miR-143-3p; miR-23a-3p; miR-221-3p; miR-532-3p; miR-27a-3p; miR-708-3p; miR-27b-3p,improved glucose tolerance
Vdac1,Non-selective voltage-gated ion channel VDAC1,Ion channel,miR-21b,impaired glucose tolerance
Vdr,Vitamin D3 receptor,Transcription regulator,miR-204-3p; miR-145a-3p; miR-532-3p,increased lean body mass
Vkorc1l1,Vitamin K epoxide reductase complex subunit 1-like protein 1,Enzyme,miR-200b-3p; miR-93-3p; miR-23b-3p; let-7b-3p; miR-183-3p; miR-23a-3p; miR-203-3p; miR-200c-3p; let-7f-2-3p; let-7c-2-3p; let-7a-1-3p; miR-206-3p; miR-429-3p; miR-669e-3p,increased lean body mass; increased fasting circulating glucose level
Vps13b,Intermembrane lipid transfer protein VPS13B,Transporter,miR-34c-3p; miR-34b-3p; miR-7222-3p; miR-23b-3p; miR-23a-3p,increased total body fat amount; impaired glucose tolerance
Washc4,WASH complex subunit 4,,miR-743b-3p; miR-150-3p; miR-27a-3p; miR-27b-3p,increased fasting circulating glucose level
Wdr11,WD repeat-containing protein 11,,miR-183-3p,improved glucose tolerance
Wdr36,WD repeat domain 36,,miR-743b-3p,increased fasting circulating glucose level
Wdr37,WD repeat-containing protein 37,,miR-743b-3p; miR-672-3p; miR-23b-3p; miR-21a-3p; miR-23a-3p; miR-222-3p; let-7g-3p; miR-221-3p; miR-27a-3p; miR-27b-3p; miR-125b-2-3p; miR-669e-3p,increased circulating insulin level
Wdr6,tRNA,,miR-204-3p; miR-206-3p,improved glucose tolerance
Xbp1,X-box-binding protein 1,Transcription regulator,miR-1931; miR-3473d; miR-3473e; miR-3473b,increased body weight
Xrcc5,X-ray repair cross-complementing protein 5,Enzyme,miR-3470b; miR-1291,decreased lean body mass
Xxylt1,Xyloside xylosyltransferase 1,Enzyme,miR-3473e; miR-3473b; miR-145a-3p; miR-204-3p; miR-203-3p,increased total body fat amount
Xylb,Xylulose kinase,Kinase,miR-7222-3p,increased total body fat amount
Ylpm1,YLP motif-containing protein 1,Transcription regulator,miR-330-3p,increased total body fat amount; increased fasting circulating glucose level
Ythdc2,3'-5' RNA helicase YTHDC2,Enzyme,miR-152-3p; miR-148a-3p; miR-374b-3p; miR-148b-3p,increased total body fat amount
Zbtb16,Zbtb16 protein,Transcription regulator,miR-23b-3p; miR-23a-3p; miR-100-3p,increased lean body mass
Zbtb43,Zinc finger and BTB domain-containing protein 43,Transcription regulator,miR-3473f; miR-29a-3p; miR-23b-3p; miR-23a-3p; miR-21b; miR-29c-3p,increased lean body mass
Zbtb45,Zinc finger and BTB domain-containing protein 45,Transcription regulator,miR-486a-3p; miR-486b-3p,increased total body fat amount
Zcchc2,Zinc finger CCHC domain-containing protein 2,,miR-3969; miR-672-3p; miR-152-3p; miR-23b-3p; miR-148a-3p; miR-23a-3p; miR-148b-3p; miR-211-3p,increased total body fat amount
Zdhhc16,Palmitoyltransferase ZDHHC16,Enzyme,miR-22-3p,decreased lean body mass
Zdhhc2,Palmitoyltransferase ZDHHC2,Enzyme,miR-200a-3p; miR-21b; miR-141-3p,increased fasting circulating glucose level
Zer1,Protein zer-1 homolog,,miR-204-3p; miR-486a-3p; miR-486b-3p,improved glucose tolerance
Zfp202,Zinc finger protein 202,,miR-871-3p; miR-7241-3p; miR-340-3p,increased total body fat amount
Zfp36,mRNA decay activator protein ZFP36,Transcription regulator,miR-29a-3p; miR-206-3p; miR-27a-3p; miR-29c-3p; miR-27b-3p,increased fasting circulating glucose level
Zfp462,Zinc finger protein 462,,miR-672-3p; miR-182-3p; miR-200a-3p; miR-27a-3p; miR-139-3p; miR-470-3p; miR-330-3p; miR-27b-3p; miR-141-3p; miR-708-3p,increased total body fat amount; impaired glucose tolerance
Zfp593,Zinc finger protein 593,,miR-486a-3p; miR-486b-3p,increased total body fat amount
Zfp616,Zinc finger protein 616,,miR-200b-3p; miR-200c-3p; miR-429-3p,increased fasting circulating glucose level
Zfp629,Zinc finger protein 629,,miR-7222-3p,increased total body fat amount
Zfp787,Zinc finger protein 787,,miR-486a-3p; miR-486b-3p,impaired glucose tolerance
Zfp84,Zinc finger protein 84,,miR-25-3p; miR-3473f; miR-92b-3p; miR-30d-3p; miR-30a-3p; miR-30e-3p,increased lean body mass
Zfp92,Zinc finger protein 92,,miR-7222-3p; let-7f-2-3p; miR-125b-2-3p; miR-669e-3p,increased total body fat amount
Zgpat,Zinc finger CCCH-type with G patch domain-containing protein,Transcription regulator,miR-3470a,increased fasting circulating glucose level
Zhx3,Zinc fingers and homeoboxes protein 3,Transcription regulator,miR-1291; miR-7241-3p; miR-27a-3p; miR-27b-3p; miR-669e-3p,increased lean body mass
Zmym2,Zinc finger MYM-type protein 2,Transcription regulator,miR-547-3p; miR-672-3p; miR-150-3p; miR-29a-3p; miR-23b-3p; miR-23a-3p; miR-203-3p; miR-222-3p; miR-205-3p; miR-221-3p; miR-21b; miR-29c-3p,increased total body fat amount
