Phenotype,Pathway,p-value (-log10),Genes
Insulin,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,1.55,SEC61B
Glucose,Orexin Signaling ,1.54,ADCY1;AKT2;CACNA2D1;CACNB2;CAMK2B;PIP4K2C;PPARG
Glucose,cAMP-mediated signaling,1.54,ADCY1;ADRA2A;AKAP13;ATF2;CAMK2B;GRM3;LPAR1
Glucose,Signaling by EGFR,1.54,FAM83A;FAM83D;NRAS
Glucose,White Adipose Tissue Browning ,1.53,ADCY1;ATF2;CACNA2D1;CACNB2;PPARG
Glucose,Death Receptor Signaling,1.53,HSPB3;LMNA;PARP1;TNKS
Insulin,Adrenomedullin signaling ,1.53,ADCY9;ELK1
Insulin,Human Embryonic Stem Cell Pluripotency,1.53,ELK1;PRKD1
Bodycomposition,Transcriptional regulation of pluripotent stem cells,1.52,EPAS1;FOXP1
Bodycomposition,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,1.52,IRAK2;MAP3K1;PELI1
Bodycomposition,Osteoarthritis ,1.51,EPAS1;FADD;FZD3;PPARG;PTH1R;RUNX2;SIK3;TCF7L2
Glucose,Formation of paraxial mesoderm,1.51,KAT2B;RBPJ
Glucose,Transcriptional regulation by RUNX3,1.5,FOXO3;KAT2B;RBPJ;TEAD1
Glucose,DNA Methylation and Transcriptional Repression Signaling,1.5,E2F3;RBL1;SAP30;TEAD1
Insulin,IL-12 Signaling and Production in Macrophages,1.5,PIAS2;PRKD1
Glucose,Acetylcholine Receptor Signaling ,1.49,ADCY1;AKT2;ATF2;CACNA2D1;CACNB2;CAMK2B
Glucose,GNRH Signaling,1.49,ADCY1;ATF2;CACNA2D1;CACNB2;CAMK2B;NRAS
Glucose,Role of JAK2 in Hormone-like Cytokine Signaling,1.48,CCND2;LEPR;SIRPA
Glucose,Neddylation,1.48,ASB7;CAND1;COPS7A;DCUN1D3;FBXO11;FBXO30;KCTD7
Glucose,Gαi Signaling,1.48,ADCY1;ADRA2A;GRM3;LPAR1;NRAS
Insulin,Hepatic Cholestasis,1.48,ADCY9;PRKD1
Bodycomposition,Glutaminergic Receptor Signaling  (Enhanced),1.47,AKT2;CACNA2D2;DGKD;GABRA2;GRIK4;GRM3;PLD5;PPP3CA;PRKCH;STX16
Insulin,Cardiac Hypertrophy Signaling (Enhanced),1.47,ADCY9;ELK1;PRKD1
Glucose,Generic Transcription ,1.46,KAT2B;NOTCH3;NR2C2;PPARG;RBPJ;ZNF664
Glucose,Role of CHK Proteins in Cell Cycle Checkpoint Control,1.46,E2F3;PPP2R1B;TLK1
Bodycomposition,Histone Modification Signaling ,1.45,BAZ2B;CBX4;CBX6;DNMT3A;EHMT1;KDM4C;KMT2A;NSD3;XRCC5
Glucose,Necroptosis Signaling ,1.45,CAMK2B;IFNAR1;PELI1;RBL1;VDAC1
Bodycomposition,Opioid Signaling ,1.44,AKT2;CACNA2D2;CAMK1;CAMK1D;FOS;PDE1A;PPP3CA;PRKCH;TCF7L2
Glucose,PIP3 activates AKT signaling,1.44,AKT2;CDKN1B;FOXO3;PIP4K2C;PPP2R1B
Bodycomposition,SUMOylation of transcription factors,1.43,MTA1;PIAS2
Bodycomposition,Type II Diabetes Mellitus Signaling,1.43,ACSL4;AKT2;CACNA2D2;MAP3K1;PPARG;PRKCH
Glucose,Metabolism of vitamin K,1.43,VKORC1L1
Glucose,NFE2L2 regulating TCA cycle genes,1.43,ME1
Insulin,Role of NFAT in Cardiac Hypertrophy,1.43,ADCY9;PRKD1
Insulin,NRF2-mediated Oxidative Stress Response,1.43,DNAJC5G;PRKD1
Bodycomposition,SUMOylation of RNA binding proteins,1.42,CBX4;NUP205;NUP37
Glucose,Signaling by ERBB4,1.42,NEDD4;NRAS;S100B
Glucose,Activin Inhibin Signaling ,1.42,AKT2;ATF2;CCND2;CDKN1B;FOXO3;PPARG
Glucose,PI3K/AKT Signaling,1.42,AKT2;CDKN1B;FOXO3;IFNAR1;NRAS;PPP2R1B
Glucose,PTEN Regulation,1.41,AKT2;ATF2;NEDD4;PPARG;TNKS
Insulin,SUMOylation of intracellular receptors,1.41,PIAS2
