Gene,Gene Name,Phenotype,Parameter
Dmd,Dystrophin,increased lean body mass,Lean/Body weight
Cbx4,E3 SUMO-protein ligase CBX4,increased total body fat amount,Fat mass
Pias2,E3 SUMO-protein ligase PIAS2,increased total body fat amount,Fat mass
Amfr,E3 ubiquitin-protein ligase AMFR,increased lean body mass,Lean Mass
Fancl,E3 ubiquitin-protein ligase FANCL,increased total body fat amount,Fat/Body weight
Hectd3,E3 ubiquitin-protein ligase HECTD3,increased total body fat amount,Fat mass
Itch,E3 ubiquitin-protein ligase Itchy,increased lean body mass,Lean/Body weight
Mib2,E3 ubiquitin-protein ligase MIB2,decreased lean body mass,Lean mass
Mid1,E3 ubiquitin-protein ligase Midline-1,increased lean body mass,Lean mass
Peli1,E3 ubiquitin-protein ligase pellino homolog 1,increased lean body mass,Lean/Body weight
Rnf10,E3 ubiquitin-protein ligase RNF10,increased lean body mass,Lean Mass
Rnf169,E3 ubiquitin-protein ligase RNF169,increased lean body mass,Lean mass
Tmem129,E3 ubiquitin-protein ligase TM129,increased total body fat amount,Fat mass
Topors,E3 ubiquitin-protein ligase Topors,increased total body fat amount,Fat mass
Trim35,E3 ubiquitin-protein ligase TRIM35,increased total body fat amount,Fat mass
Trim37,E3 ubiquitin-protein ligase TRIM37,increased total body fat amount,Fat mass
Uhrf2,E3 ubiquitin-protein ligase UHRF2,increased total body fat amount,Fat/Body weight
Enox1,Ecto-NOX disulfide-thiol exchanger 1,increased total body fat amount,Fat/Body weight
Entpd1,Ectonucleoside triphosphate diphosphohydrolase 1,increased lean body mass,Lean Mass
Bzw2,eIF5-mimic protein 1,increased lean body mass,Lean mass
Etfa,"Electron transfer flavoprotein subunit alpha, mitochondrial",increased total body fat amount,Fat mass
Elmod1,ELMO domain-containing protein 1,increased lean body mass,Lean/Body weight
Elmod2,ELMO domain-containing protein 2,increased total body fat amount,Fat mass
Erap1,Endoplasmic reticulum aminopeptidase 1,increased lean body mass,Lean/Body weight
Erp44,Endoplasmic reticulum resident protein 44,increased lean body mass,Lean/Body weight
Dicer1,Endoribonuclease Dicer,decreased lean body mass,Lean mass
Epas1,Endothelial PAS domain-containing protein 1,increased total body fat amount,Fat mass
Elmo1,Engulfment and cell motility protein 1,increased lean body mass,Lean mass
Epc1,Enhancer of polycomb homolog 1,increased lean body mass,Lean/Body weight
Eomes,Eomesodermin homolog,increased total body fat amount,Fat mass
Epx,Eosinophil peroxidase,increased total body fat amount,Fat mass
Slc29a3,Equilibrative nucleoside transporter 3,increased lean body mass,Lean/Body weight
Edem1,ER degradation-enhancing alpha-mannosidase-like protein 1,increased lean body mass,Lean/Body weight
Emc3,ER membrane protein complex subunit 3,increased total body fat amount,Fat/Body weight
Emc8,ER membrane protein complex subunit 8,increased total body fat amount,Fat mass
